School,G,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Purdue ,35,2790,2393,980,2044,.479,315,782,.403,515,680,.757,344,1322,640,181,87,455,552
Quinnipiac,31,2377,2583,848,2008,.422,228,700,.326,453,663,.683,432,1223,447,178,111,448,607
Radford,32,2090,2247,745,1802,.413,247,715,.345,353,530,.666,396,1219,393,153,114,470,550
Rhode Island ,35,2577,2288,916,2019,.454,217,653,.332,528,791,.668,409,1301,467,227,206,389,725
Rice,35,2853,2650,946,2048,.462,326,840,.388,635,858,.740,353,1331,484,221,129,524,669
Richmond,35,2596,2520,938,1993,.471,271,793,.342,449,630,.713,236,1078,592,232,67,399,634
Rider,33,2498,2500,907,2034,.446,179,539,.332,505,752,.672,421,1331,466,219,119,481,650
Robert Morris,33,2125,2238,728,1818,.400,183,574,.319,486,750,.648,363,1139,348,261,80,497,671
Rutgers,33,2163,2215,809,1967,.411,152,502,.303,393,631,.623,480,1319,360,217,153,437,584
Sacramento State,31,2204,2303,808,1759,.459,160,506,.316,428,657,.651,306,1100,408,145,135,360,568
Sacred Heart,32,2326,2436,832,1882,.442,200,597,.335,462,659,.701,361,1194,459,217,86,516,617
Saint Francis (PA),34,2577,2533,943,2021,.467,277,709,.391,414,598,.692,342,1243,472,225,136,491,551
Saint Joseph's,31,2155,2265,755,1808,.418,174,537,.324,471,725,.650,351,1132,352,150,106,371,547
Saint Louis,33,2026,2288,700,1733,.404,230,672,.342,396,597,.663,279,1093,423,164,95,441,639
Saint Mary's (CA) ,34,2449,1954,892,1797,.496,293,744,.394,372,499,.745,324,1205,563,143,110,365,512
Saint Peter's,36,2376,2189,825,1891,.436,288,755,.381,438,625,.701,297,1182,440,251,106,398,571
Sam Houston State,34,2526,2424,898,2055,.437,212,671,.316,518,755,.686,401,1283,507,239,93,466,758
Samford,36,2834,2733,955,2038,.469,279,707,.395,645,868,.743,345,1300,581,222,88,493,678
San Diego State,33,2260,2064,782,1878,.416,233,736,.317,463,663,.698,350,1199,360,227,164,387,572
San Diego,31,2025,2210,666,1636,.407,258,741,.348,435,603,.721,254,1028,376,121,54,379,600
San Francisco,33,2362,2222,868,1934,.449,299,855,.350,327,514,.636,314,1187,428,220,92,415,639
San Jose State,30,2195,2245,772,1750,.441,200,574,.348,451,643,.701,267,1015,417,190,124,377,589
